country,iso2,year,value
China,CN,2008,5.9253
China,CN,2009,-0.7282
China,CN,2010,3.1753
China,CN,2011,5.5539
China,CN,2012,2.6195
China,CN,2013,2.6211
China,CN,2014,1.9216
China,CN,2015,1.437
China,CN,2016,2.0
China,CN,2017,1.5931
China,CN,2018,2.0748
China,CN,2019,2.8992
China,CN,2020,2.4194
China,CN,2021,0.981
China,CN,2022,1.9736
China,CN,2023,0.2348
France,FR,1990,3.1943
France,FR,1991,3.2134
France,FR,1992,2.3638
France,FR,1993,2.1045
France,FR,1994,1.6555
France,FR,1995,1.7965
France,FR,1996,1.9829
France,FR,1997,1.2039
France,FR,1998,0.6511
France,FR,1999,0.5371
France,FR,2000,1.676
France,FR,2001,1.6348
France,FR,2002,1.9234
France,FR,2003,2.0985
France,FR,2004,2.1421
France,FR,2005,1.7459
France,FR,2006,1.6751
France,FR,2007,1.488
France,FR,2008,2.8129
France,FR,2009,0.0876
France,FR,2010,1.5311
France,FR,2011,2.1116
France,FR,2012,1.9542
France,FR,2013,0.8637
France,FR,2014,0.5078
France,FR,2015,0.0375
France,FR,2016,0.1833
France,FR,2017,1.0323
France,FR,2018,1.8508
France,FR,2019,1.1083
France,FR,2020,0.4765
France,FR,2021,1.6423
France,FR,2022,5.2224
France,FR,2023,4.8784
Germany,DE,1990,2.6965
Germany,DE,1991,4.047
Germany,DE,1992,5.057
Germany,DE,1993,4.4746
Germany,DE,1994,2.6931
Germany,DE,1995,1.7062
Germany,DE,1996,1.4497
Germany,DE,1997,1.9394
Germany,DE,1998,0.9112
Germany,DE,1999,0.5854
Germany,DE,2000,1.4403
Germany,DE,2001,1.9839
Germany,DE,2002,1.4208
Germany,DE,2003,1.0342
Germany,DE,2004,1.6657
Germany,DE,2005,1.5469
Germany,DE,2006,1.5774
Germany,DE,2007,2.2983
Germany,DE,2008,2.6284
Germany,DE,2009,0.3127
Germany,DE,2010,1.1038
Germany,DE,2011,2.0752
Germany,DE,2012,2.0085
Germany,DE,2013,1.5047
Germany,DE,2014,0.9068
Germany,DE,2015,0.5144
Germany,DE,2016,0.4917
Germany,DE,2017,1.5095
Germany,DE,2018,1.7322
Germany,DE,2019,1.4457
Germany,DE,2020,0.1449
Germany,DE,2021,3.0667
Germany,DE,2022,6.8726
Germany,DE,2023,5.9464
India,IN,1990,8.9712
India,IN,1991,13.8702
India,IN,1992,11.7878
India,IN,1993,6.3269
India,IN,1994,10.2479
India,IN,1995,10.2249
India,IN,1996,8.9772
India,IN,1997,7.1643
India,IN,1998,13.2308
India,IN,1999,4.6698
India,IN,2000,4.0094
India,IN,2001,3.7793
India,IN,2002,4.2972
India,IN,2003,3.8059
India,IN,2004,3.7673
India,IN,2005,4.2463
India,IN,2006,5.7965
India,IN,2007,6.3729
India,IN,2008,8.3493
India,IN,2009,10.8824
India,IN,2010,11.9894
India,IN,2011,8.9118
India,IN,2012,9.479
India,IN,2013,10.0179
India,IN,2014,6.6657
India,IN,2015,4.907
India,IN,2016,4.9482
India,IN,2017,3.3282
India,IN,2018,3.9388
India,IN,2019,3.7295
India,IN,2020,6.6234
India,IN,2021,5.1314
India,IN,2022,6.699
India,IN,2023,5.6491
Japan,JP,1990,3.0785
Japan,JP,1991,3.2514
Japan,JP,1992,1.7603
Japan,JP,1993,1.243
Japan,JP,1994,0.6955
Japan,JP,1995,-0.1279
Japan,JP,1996,0.1366
Japan,JP,1997,1.7478
Japan,JP,1998,0.662
Japan,JP,1999,-0.3413
Japan,JP,2000,-0.6766
Japan,JP,2001,-0.7401
Japan,JP,2002,-0.9235
Japan,JP,2003,-0.2565
Japan,JP,2004,-0.0086
Japan,JP,2005,-0.2829
Japan,JP,2006,0.2494
Japan,JP,2007,0.06
Japan,JP,2008,1.3801
Japan,JP,2009,-1.3528
Japan,JP,2010,-0.7282
Japan,JP,2011,-0.2725
Japan,JP,2012,-0.0441
Japan,JP,2013,0.335
Japan,JP,2014,2.7592
Japan,JP,2015,0.7953
Japan,JP,2016,-0.1273
Japan,JP,2017,0.4842
Japan,JP,2018,0.9891
Japan,JP,2019,0.4688
Japan,JP,2020,-0.025
Japan,JP,2021,-0.2334
Japan,JP,2022,2.4977
Japan,JP,2023,3.2681
"Korea, Rep.",,1990,8.5733
"Korea, Rep.",,1991,9.3328
"Korea, Rep.",,1992,6.2133
"Korea, Rep.",,1993,4.801
"Korea, Rep.",,1994,6.2659
"Korea, Rep.",,1995,4.4807
"Korea, Rep.",,1996,4.9245
"Korea, Rep.",,1997,4.4389
"Korea, Rep.",,1998,7.5136
"Korea, Rep.",,1999,0.813
"Korea, Rep.",,2000,2.2592
"Korea, Rep.",,2001,4.0666
"Korea, Rep.",,2002,2.7623
"Korea, Rep.",,2003,3.5149
"Korea, Rep.",,2004,3.5907
"Korea, Rep.",,2005,2.7538
"Korea, Rep.",,2006,2.2423
"Korea, Rep.",,2007,2.5346
"Korea, Rep.",,2008,4.6739
"Korea, Rep.",,2009,2.7565
"Korea, Rep.",,2010,2.9393
"Korea, Rep.",,2011,4.026
"Korea, Rep.",,2012,2.1871
"Korea, Rep.",,2013,1.3013
"Korea, Rep.",,2014,1.2748
"Korea, Rep.",,2015,0.7063
"Korea, Rep.",,2016,0.9717
"Korea, Rep.",,2017,1.9443
"Korea, Rep.",,2018,1.4758
"Korea, Rep.",,2019,0.383
"Korea, Rep.",,2020,0.5373
"Korea, Rep.",,2021,2.4983
"Korea, Rep.",,2022,5.0895
"Korea, Rep.",,2023,3.5975
Mexico,MX,1990,26.6517
Mexico,MX,1991,22.6624
Mexico,MX,1992,15.5079
Mexico,MX,1993,9.7515
Mexico,MX,1994,6.9658
Mexico,MX,1995,34.9993
Mexico,MX,1996,34.3784
Mexico,MX,1997,20.6256
Mexico,MX,1998,15.9284
Mexico,MX,1999,16.5856
Mexico,MX,2000,9.4916
Mexico,MX,2001,6.3677
Mexico,MX,2002,5.0307
Mexico,MX,2003,4.5469
Mexico,MX,2004,4.6884
Mexico,MX,2005,3.9881
Mexico,MX,2006,3.6295
Mexico,MX,2007,3.9668
Mexico,MX,2008,5.125
Mexico,MX,2009,5.2974
Mexico,MX,2010,4.1567
Mexico,MX,2011,3.4074
Mexico,MX,2012,4.1115
Mexico,MX,2013,3.8064
Mexico,MX,2014,4.0186
Mexico,MX,2015,2.7206
Mexico,MX,2016,2.8217
Mexico,MX,2017,6.0415
Mexico,MX,2018,4.8994
Mexico,MX,2019,3.636
Mexico,MX,2020,3.3968
Mexico,MX,2021,5.6892
Mexico,MX,2022,7.8963
Mexico,MX,2023,5.528
South Africa,ZA,1990,14.321
South Africa,ZA,1991,15.3348
South Africa,ZA,1992,13.8747
South Africa,ZA,1993,9.7174
South Africa,ZA,1994,8.9386
South Africa,ZA,1995,8.6804
South Africa,ZA,1996,7.3541
South Africa,ZA,1997,8.5978
South Africa,ZA,1998,6.8805
South Africa,ZA,1999,5.1815
South Africa,ZA,2000,5.339
South Africa,ZA,2001,5.7019
South Africa,ZA,2002,9.4947
South Africa,ZA,2003,5.6794
South Africa,ZA,2004,-0.692
South Africa,ZA,2005,2.0629
South Africa,ZA,2006,3.2439
South Africa,ZA,2007,6.1778
South Africa,ZA,2008,9.91
South Africa,ZA,2009,7.2381
South Africa,ZA,2010,4.0675
South Africa,ZA,2011,5.0009
South Africa,ZA,2012,5.738
South Africa,ZA,2013,5.7802
South Africa,ZA,2014,6.1328
South Africa,ZA,2015,4.5187
South Africa,ZA,2016,6.6029
South Africa,ZA,2017,5.1862
South Africa,ZA,2018,4.5099
South Africa,ZA,2019,4.1029
South Africa,ZA,2020,3.2324
South Africa,ZA,2021,4.6187
South Africa,ZA,2022,7.0399
South Africa,ZA,2023,6.0752
Turkiye,,1990,60.3039
Turkiye,,1991,65.9786
Turkiye,,1992,70.0761
Turkiye,,1993,66.0938
Turkiye,,1994,105.215
Turkiye,,1995,89.1133
Turkiye,,1996,80.4122
Turkiye,,1997,85.6694
Turkiye,,1998,84.6413
Turkiye,,1999,64.8675
Turkiye,,2000,54.9154
Turkiye,,2001,54.4002
Turkiye,,2002,44.9641
Turkiye,,2003,21.6024
Turkiye,,2004,8.5983
Turkiye,,2005,8.1792
Turkiye,,2006,9.5972
Turkiye,,2007,8.7562
Turkiye,,2008,10.4441
Turkiye,,2009,6.251
Turkiye,,2010,8.5664
Turkiye,,2011,6.4719
Turkiye,,2012,8.8916
Turkiye,,2013,7.4931
Turkiye,,2014,8.8546
Turkiye,,2015,7.6709
Turkiye,,2016,7.7751
Turkiye,,2017,11.1443
Turkiye,,2018,16.3325
Turkiye,,2019,15.1768
Turkiye,,2020,12.279
Turkiye,,2021,19.5965
Turkiye,,2022,72.3088
Turkiye,,2023,53.8594
United Kingdom,GB,1990,8.0635
United Kingdom,GB,1991,7.4618
United Kingdom,GB,1992,4.5915
United Kingdom,GB,1993,2.5586
United Kingdom,GB,1994,2.219
United Kingdom,GB,1995,2.6975
United Kingdom,GB,1996,2.8518
United Kingdom,GB,1997,2.2011
United Kingdom,GB,1998,1.8206
United Kingdom,GB,1999,1.753
United Kingdom,GB,2000,1.183
United Kingdom,GB,2001,1.5323
United Kingdom,GB,2002,1.5204
United Kingdom,GB,2003,1.3765
United Kingdom,GB,2004,1.3904
United Kingdom,GB,2005,2.0891
United Kingdom,GB,2006,2.4557
United Kingdom,GB,2007,2.3866
United Kingdom,GB,2008,3.5214
United Kingdom,GB,2009,1.9617
United Kingdom,GB,2010,2.4927
United Kingdom,GB,2011,3.8561
United Kingdom,GB,2012,2.5732
United Kingdom,GB,2013,2.2917
United Kingdom,GB,2014,1.4511
United Kingdom,GB,2015,0.368
United Kingdom,GB,2016,1.0084
United Kingdom,GB,2017,2.5578
United Kingdom,GB,2018,2.2928
United Kingdom,GB,2019,1.7381
United Kingdom,GB,2020,0.9895
United Kingdom,GB,2021,2.5184
United Kingdom,GB,2022,7.922
United Kingdom,GB,2023,6.794
United States,US,1990,5.398
United States,US,1991,4.235
United States,US,1992,3.0288
United States,US,1993,2.9517
United States,US,1994,2.6074
United States,US,1995,2.8054
United States,US,1996,2.9312
United States,US,1997,2.3377
United States,US,1998,1.5523
United States,US,1999,2.188
United States,US,2000,3.3769
United States,US,2001,2.8262
United States,US,2002,1.586
United States,US,2003,2.2701
United States,US,2004,2.6772
United States,US,2005,3.3927
United States,US,2006,3.2259
United States,US,2007,2.8527
United States,US,2008,3.8391
United States,US,2009,-0.3555
United States,US,2010,1.64
United States,US,2011,3.1568
United States,US,2012,2.0693
United States,US,2013,1.4648
United States,US,2014,1.6222
United States,US,2015,0.1186
United States,US,2016,1.2616
United States,US,2017,2.1301
United States,US,2018,2.4426
United States,US,2019,1.8122
United States,US,2020,1.2336
United States,US,2021,4.6979
United States,US,2022,8.0028
United States,US,2023,4.1163
